Name,gaia_ID,gaia_ra,gaia_dec,gaia_l,gaia_b,gaia_g,gaia_gbp,gaia_grp,gaia_RV,gaia_parallax,gaia_distance,gaia_T,gaia_R,gaia_L
1SWASP J003033.05+574347.6,Gaia DR2 427862103706151296,7.637111984,57.7288995,120.1355494,-5.029385925,20.592756,20.552305,18.82744,,2.7793321,0.359799,,,
1SWASP J011732.10+525204.9,Gaia DR2 410159451102131200,19.38373687,52.86816344,126.9232254,-9.801224396,13.771366,14.578562,12.893186,-142.4995707,0.293987926,3.4015,4226,11.644601,38.963852
1SWASP J015100.23-100524.2,Gaia DR2 2461175140038321280,27.75112797,-10.09000711,165.2452952,-67.923089,14.392441,14.934164,13.698336,,2.467173036,0.405322,4922.4033,0.67436844,0.24054593
1SWASP J024148.62+372848.3,Gaia DR2 333477070637929728,40.45260405,37.47992848,146.0204351,-20.39407041,14.663876,15.211265,13.963066,,1.915989267,0.521924,4879.8726,0.7838388,0.31389335
1SWASP J030749.87-365201.7,Gaia DR2 5046689037834943744,46.95749736,-36.86723926,240.27089,-59.67538679,16.520153,,,,1.866621188,0.535727,,,
1SWASP J031700.67+190839.6,Gaia DR2 59229699251693824,49.25297605,19.14427162,164.2052212,-31.81960928,14.256941,14.887787,13.416279,,2.886853904,0.346398,4497,0.7859969,0.22762918
1SWASP J034501.24+493659.9,Gaia DR2 249570280308984064,56.25519195,49.61663328,149.4368657,-4.108984359,9.420312,9.715783,8.996203,,6.362919466,0.157161,6119,1.5641651,3.0901656
1SWASP J044132.96+440613.7,Gaia DR2 252807586135139584,70.38845693,44.10311617,160.2346232,-1.476532439,20.804224,20.647533,19.156769,,,,,,
1SWASP J050904.45-074144.4,Gaia DR2 3207798824412250112,77.26894529,-7.695703231,208.0714908,-26.23269871,15.309315,,,,3.211428444,0.311388,,,
1SWASP J052926.88+461147.5,Gaia DR2 209018745286205952,82.3623237,46.19640413,163.6678409,6.510091405,14.934558,15.55275,14.192293,,1.859202751,0.537865,4885.4497,0.7109832,0.25943682
1SWASP J064501.21+342154.9,Gaia DR2 938861644542159744,101.2550969,34.36509838,181.0667551,13.69880129,13.999558,14.641391,13.231468,,2.833091161,0.352971,4448.5,0.93073404,0.305633
1SWASP J074658.62+224448.5,Gaia DR2 674942638710147840,116.7443635,22.74672319,197.7338557,21.9174933,14.196517,14.788855,13.4716835,,2.697864796,0.370663,4831.1533,0.70883965,0.24660052
1SWASP J075102.16+342405.3,Gaia DR2 882490714176552704,117.7588524,34.40154639,185.9420574,26.51537059,14.190336,14.907385,13.376635,,3.102082929,0.322364,4464.82,0.77020764,0.2123861
1SWASP J080150.03+471433.8,Gaia DR2 932885863267338368,120.4583924,47.24266455,172.066819,31.16356494,13.278255,13.775854,12.564978,,3.794677888,0.263527,4874.6665,0.75124747,0.28710473
1SWASP J093010.78+533859.5,Gaia DR2 1019985089906439040,142.5454644,53.64948724,162.9001599,44.75797475,10.82339,,,,14.28768544,0.06999,,,
1SWASP J104942.44+141021.5,Gaia DR2 3885073007593035264,162.426895,14.17262526,231.3231154,58.83258389,14.345925,14.982738,13.59681,,2.370329767,0.421882,4849.9375,0.7454561,0.27700233
1SWASP J133105.91+121538.0,Gaia DR2 3738936912850698624,202.7742789,12.26033533,336.8802185,72.46460441,10.486681,10.994355,9.853221,,14.00051472,0.071426,4966.6465,0.7016162,0.26986524
1SWASP J133417.80+394314.4,Gaia DR2 1476018219109602048,203.5741844,39.72059232,90.39229092,74.58176114,14.709635,15.27822,13.991334,,1.875266197,0.533258,4891.847,0.7791549,0.3132087
1SWASP J140533.33+114639.1,Gaia DR2 1226410559705188864,211.3888443,11.77750781,355.1005608,66.80336223,15.57883,16.122692,14.90332,,1.316697609,0.759476,5141.4497,0.65563506,0.27062094
1SWASP J150822.80-054236.9,Gaia DR2 6334708463860687232,227.0949972,-5.710255933,353.2986799,43.37426501,12.408748,12.899703,11.767177,,4.302877741,0.232403,4952.0723,0.9491724,0.48812696
1SWASP J151144.56+165426.4,Gaia DR2 1208461655152994432,227.9357378,16.90725723,22.8043054,56.04580514,14.662933,15.3119,13.876311,,2.423342334,0.412653,4447.9,0.8019897,0.22680482
1SWASP J155822.10-025604.8,Gaia DR2 4399927092603550208,239.5920353,-2.934622939,6.740966246,35.86358012,14.26312,14.922734,13.495198,,2.348742203,0.42576,4711.03,0.8450037,0.3168658
1SWASP J160156.04+202821.6,Gaia DR2 1203578449136931456,240.4835189,20.4727231,34.86553932,46.17381946,13.899195,14.543004,13.12115,,3.290363254,0.303918,4407.06,0.8628736,0.25303754
1SWASP J161858.05+261303.5,Gaia DR2 1303664896668956928,244.7404929,26.22833406,44.21747422,43.97493037,18.537762,19.442621,17.216534,,2.21200023,0.45208,,,
1SWASP J173828.46+111150.2,Gaia DR2 4492779024205404032,264.618579,11.19736773,34.94909779,21.21213376,13.426602,13.894446,12.6280775,,,,4641.96,,
1SWASP J200059.78+054408.9,Gaia DR2 4248891612709898240,300.24899,5.735288756,46.23638671,-12.65548042,14.892732,15.467802,14.159304,,1.767840643,0.565662,4858.2803,0.7734993,0.30029276
1SWASP J200503.05-343726.5,Gaia DR2 6698611697003800576,301.2627037,-34.62426649,6.553936587,-29.36008198,15.069404,15.6669855,14.309761,,1.749713294,0.571522,4732.625,0.77277243,0.26990214
1SWASP J210318.76+021002.2,Gaia DR2 1730243488048639744,315.8281983,2.167289187,51.49970326,-27.82186262,12.658526,13.00505,12.139149,13.71522929,-1.627273995,-0.614525,5545.9927,,
1SWASP J212808.86+151622.0,Gaia DR2 1771574954770894336,322.0370341,15.27276658,67.34651835,-24.97730172,14.544544,15.209241,13.604528,,2.533748503,0.394672,4442.143,0.81312,0.23193921
1SWASP J213252.93-441822.6,Gaia DR2 6576095452780342656,323.2215936,-44.30529113,355.9713692,-46.96721361,20.218166,21.261677,18.921764,,0.525709125,1.902193,,,
1SWASP J220235.74+311909.7,Gaia DR2 1898638366767417600,330.6482555,31.31963119,85.54795843,-19.03269788,19.679821,19.76693,18.086529,,2.6752786,0.373793,,,
1SWASP J222514.69+361643.0,Gaia DR2 1906049006421349120,336.3112777,36.27854301,92.64395238,-17.85253719,12.516831,13.067539,11.832853,-19.26418318,0.36851484,2.713595,5108.9326,9.747307,58.315594
2MASS J00570305+5541588,Gaia DR2 423554904350999552,14.26264403,55.69969122,123.7288122,-7.163374146,13.612485,13.991818,13.064893,,0.888210295,1.12586,5308.91,2.2250814,3.5433009
2MASS J00580602+5541451,Gaia DR2 423552636608424192,14.52516471,55.69584921,123.8779717,-7.163661504,15.416558,16.020712,14.668776,,1.216671204,0.821915,5007.6665,0.8165723,0.37776834
2MASS J02272637+1156494,Gaia DR2 26255547397592448,36.859911,11.94702761,156.8505405,-44.51041693,15.5546875,16.345543,14.572816,,1.874352319,0.533518,3937.75,1.0099113,0.22092949
2MASS J02322600+5726420,Gaia DR2 458019371199810432,38.1084312,57.44499064,136.2175485,-2.798266861,15.503739,16.25197,14.636487,,1.059990368,0.943405,4265.685,1.4125907,0.59522694
2MASS J02342291+5725468,Gaia DR2 458010472020090368,38.59381842,57.43029028,136.4647428,-2.711662925,20.494137,20.912828,19.180931,,0.312530376,3.199689,,,
2MASS J03334546+5125596,Gaia DR2 442261651582028672,53.43943435,51.43318861,146.9108474,-3.719782334,15.553386,16.261787,14.716255,,0.188225618,5.312773,4471,,
2MASS J06404718-8815211,Gaia DR2 5189282948497014912,100.1963462,-88.25587451,300.9730569,-27.19569654,11.809292,12.092042,11.341316,,1.935958016,0.51654,6020.4,1.7702729,3.709168
2MASS J07070311+1259585,Gaia DR2 3161094319246820096,106.7629302,12.99951718,203.015329,9.300001531,14.669534,15.182781,13.99699,,1.796917234,0.556509,4844,0.8499338,0.35832858
2MASS J08461143-8833427,Gaia DR2 5188474910527990400,131.5678998,-88.56196668,301.5234403,-26.43047399,16.376547,17.018696,14.883373,,5.320011445,0.18797,4285.71,,
2MASS J11201034-2201340,Gaia DR2 3538469421685625856,170.0431139,-22.0261531,276.5079411,36.11913745,15.299733,15.760596,14.650805,,0.925216277,1.080828,5044.0737,1.1126293,0.7219738
2MASS J19090585+4911585,Gaia DR2 2131302723789458688,287.2744491,49.19951232,79.85049101,17.48211525,14.970112,15.422828,14.371404,,1.008934251,0.991145,5091.29,1.160234,0.8148866
2MASS J20004638+0547475,Gaia DR2 4248896109529985792,300.1933011,5.79656321,46.26309465,-12.57708894,16.97944,17.410084,16.376081,,0.369572272,2.705831,5120.6133,,
2MASS J20034981+4411085,Gaia DR2 2076065561720648192,300.9575623,44.18566816,79.57565837,6.866808204,17.02783,17.573261,16.266827,,0.329262496,3.037091,4861,,
2MASS J20040017+4414033,Gaia DR2 2082070540173389440,301.0017442,44.2352507,79.63490766,6.865789339,18.914698,19.724373,17.86307,,0.975330522,1.025293,,,
44 Boo,Gaia DR2 1588936555749388928,225.9450136,47.65444794,80.3714647,57.06707415,5.545682,5.0029254,4.4764333,,78.08810047,0.012806,5095.6333,,
AA UMa,Gaia DR2 821434970926235904,146.7470198,45.76565317,173.2483454,49.21015963,11.162122,11.448671,10.628027,,3.016103155,0.331554,5737,1.6978458,2.8133943
AB And,Gaia DR2 1916588203329221632,347.884273,36.89285561,101.6039455,-21.80705938,9.695267,10.176242,9.092649,,11.70269841,0.08545,5029.5,1.1704795,0.7898081
AC Boo,Gaia DR2 1587269421243711872,224.1180174,46.36227482,79.26136802,58.76233938,10.072252,10.422011,9.61194,,6.377126381,0.15681,5834,1.2789621,1.707166
AD Cnc,Gaia DR2 598699921163689472,131.583716,10.33528113,216.6403451,30.17154118,13.019077,13.540504,12.355604,,3.122261659,0.320281,4896.5,1.0168393,0.53547895
AD Phe,Gaia DR2 4985326015443512192,19.15860921,-39.70860447,281.9352072,-76.37489691,10.287158,10.618917,9.828929,,4.981832552,0.200729,5810.75,1.4957664,2.2980053
