Name,J,H,K,Johnson_U,Johnson_B,Johnson_V,Johnson_R,Johnson_I,Sloan_u,Sloan_g,Sloan_r,Sloan_i,Sloan_z
1SWASP J003033.05+574347.6,12.617,11.994,11.856,,,14.89,,,,14.7193,,,
1SWASP J011732.10+525204.9,11.609,10.999,10.827,,,13.98,,,,13.7714,,,
1SWASP J015100.23-100524.2,12.678,12.138,12.026,,,14.35,,,,14.3924,,,
1SWASP J024148.62+372848.3,13.119,12.538,12.466,,,14.62,,,,14.6639,,,
1SWASP J030749.87-365201.7,,,,,,14.65,14.64,,,14.9905,14.64,,
1SWASP J031700.67+190839.6,12.259,11.664,11.503,,,14.06,,,,14.2569,,,
1SWASP J034501.24+493659.9,8.578,8.33,8.288,,10.08,9.61,,,,9.4203,,,
1SWASP J044132.96+440613.7,12.87,12.147,11.931,,,14.19,,,,14.8143,,,
1SWASP J050904.45-074144.4,11.309,10.762,10.582,12.61,14.28,13.3,12.94,,,13.78,12.94,12.61,
1SWASP J052926.88+461147.5,13.071,12.534,12.412,,,14.66,,,,14.9346,,,
1SWASP J064501.21+342154.9,,,,,15.298,14.11,,,,,,,
1SWASP J074658.62+224448.5,12.45,11.928,11.789,,,14.13,,,,14.1965,,,
1SWASP J075102.16+342405.3,,,,,,14.01,,,,14.1903,,,
1SWASP J080150.03+471433.8,11.558,11.003,10.907,,,13.4,,,,13.2783,,,
1SWASP J093010.78+533859.5,7.93,7.394,7.243,,10.52,9.54,12.695,,,,12.695,,
1SWASP J104942.44+141021.5,12.671,12.082,11.993,,,14.31,,,,14.3459,,,
1SWASP J133105.91+121538.0,9.098,8.574,8.481,9.93,11.74,10.667,10.293,,,10.98,10.293,9.93,
1SWASP J133417.80+394314.4,13.042,12.512,12.377,14.359,,14.86,14.709,,17.542,15.618,14.709,14.359,14.201
1SWASP J140533.33+114639.1,14.019,13.487,13.328,15.199,,15.51,15.499,,18.09,16.267,15.499,15.199,15.029
