"Targets above 30 deg. On 10/16 observational period APO, List of Asas-sn light curve csv names and how they relate to possible targets",,,,,,
"CSV shows whether a csv exists in the folder and for what reason, missing data (need to recalculate lightcurve the long way), No Search Result (star didn’t appear in search. ",,,,,,
,,,,,,
name,gaia_ID,Asas-an ID,gaia_ra,gaia_dec,P,CSV?
1SWASP J210318.76+021002.2,Gaia DR2 1730243488048639744,AP9268835,315.8281983,2.167289187,0.22859,
BG Vul,Gaia DR2 1791530536763486976,AP9870648,319.8518614,22.04485397,0.40323646,
BL Vul,Gaia DR2 1847120371492690816,No Result,321.9528163,26.56904593,0.25182528,No Search Result
BQ Ari,Gaia DR2 31980704443356288,APJ024840.84+134446.4,42.17015822,13.74621751,0.282335413,
CSS J015341.9+381641,Gaia DR2 342812955149513344,AP2327653,28.42461215,38.27808808,0.347518,
CSS J062803.2+571604,Gaia DR2 998330551996667136,AP6956732,97.01357985,57.26768407,0.3224327,
EX Psc,Gaia DR2 2742289721749871872,AP17683787,3.344546456,5.669173067,0.28948,
GR Boo,Gaia DR2 1267903865090637568,,224.9771481,25.90941278,0.37666954,
GSC 2576-0319,Gaia DR2 1323756513161624576,AP8157283,242.6806147,34.62054402,0.367848,
GSC 3581-1856,Gaia DR2 2179794175880486272,AP15306428,308.9880104,49.01157893,0.2785137,
LZ Dra,Gaia DR2 2264953030770177280,AP16043876,293.6411034,74.05187953,0.350374,missing data
MQ Peg,Gaia DR2 1884116360786727296,AP11192164,342.0431893,28.08837458,0.3793826,
NR Cam,Gaia DR2 1138420290562688640,AP7992460,118.6272358,78.1122107,0.255886072,missing data
NSVS 2244206,Gaia DR2 1008591435024671872,APJ060620.51+650721.4,91.58544483,65.12260306,0.280727,
OO Aql,Gaia DR2 4301711773362344192,AP32608266,297.0530056,9.308961968,0.506792,
RW PsA,Gaia DR2 6619007776704670720,AP58332898,332.4457,-27.06705468,0.36045011,
TW Cet,Gaia DR2 5136147262376639360,AP37792864,27.22580044,-20.89300736,0.316851,
TYC 2675-663-1,Gaia DR2 2054900890599013376,AP37792864,302.2965628,32.56485592,0.4223576,
V1044 Her,Gaia DR2 1341162641222391808,AP8229754,257.5743059,38.44455663,0.24064058, missing data
V1799 Ori,Gaia DR2 3288861521762554624,AP23576749,71.82579101,6.682268813,0.29030364,
V1848 Ori,Gaia DR2 3239099515275360640,AP23344668,77.15158084,5.205920821,0.2663493,
V2150 Cyg,Gaia DR2 1852007631960413952,AP10770782,319.5453466,30.58931333,0.591856,
V479 Lac,Gaia DR2 1927553838951888384,AP11638216,343.2111944,35.98230045,0.3457586, missing data
V483 And,Gaia DR2 380313895159911296,AP2674546,5.147266595,40.07131504,0.297092,
V796 Cep,Gaia DR2 565778176503496704,AP4964340,25.40217205,80.07190919,0.3929661,
VSX J062624.4+570907,Gaia DR2 998232832899586304,AP6955847,96.60185757,57.15211429,0.280628,
VZ Psc,Gaia DR2 2660317625204804480,AP17229646,351.9535064,4.85741503,0.26125921, missing data
